"","location","error","Best_error","Worst_error","distance","number"
"150","attic",3509.47892919265,1789.66010393664,4255.02175239061,12,10
"151","attic",12034.8210186324,1789.66010393664,4255.02175239061,12,11
"152","attic",4031.30758716633,1789.66010393664,4255.02175239061,12,11
"153","attic",2503.73183457825,1789.66010393664,4255.02175239061,12,11
"154","attic",3652.9168063656,1789.66010393664,4255.02175239061,12,11
"155","attic",1938.31718841259,1789.66010393664,4255.02175239061,12,11
"156","attic",6019.28337817803,1789.66010393664,4255.02175239061,12,11
"157","attic",5156.84091620684,1789.66010393664,4255.02175239061,12,11
"158","attic",2581.89163991584,1789.66010393664,4255.02175239061,12,11
"159","attic",7177.90003668928,1789.66010393664,4255.02175239061,12,11
"160","attic",5247.22972872726,1789.66010393664,4255.02175239061,12,11
"161","attic",3397.69472266982,1789.66010393664,4255.02175239061,12,12
"162","attic",2603.29956894298,1789.66010393664,4255.02175239061,12,12
"163","attic",1961.60640560901,1789.66010393664,4255.02175239061,12,12
"164","attic",2776.64952804014,1789.66010393664,4255.02175239061,12,12
"165","attic",2481.27740908813,1789.66010393664,4255.02175239061,12,12
"166","attic",3397.69472266982,1789.66010393664,4255.02175239061,12,12
"167","attic",1992.84461381577,1789.66010393664,4255.02175239061,12,12
"168","attic",7866.24814927161,1789.66010393664,4255.02175239061,12,12
"169","attic",7620.80815056595,1789.66010393664,4255.02175239061,12,12
"170","attic",6085.94658491611,1789.66010393664,4255.02175239061,12,12
"171","attic",3523.48570766935,1789.66010393664,4255.02175239061,24,2
"172","attic",6427.38024990891,1789.66010393664,4255.02175239061,24,2
"173","attic",25357.8520672638,1789.66010393664,4255.02175239061,24,2
"174","attic",12642.4160113087,1789.66010393664,4255.02175239061,24,2
"175","attic",44807.8673631394,1789.66010393664,4255.02175239061,24,2
"176","attic",3563.82906875738,1789.66010393664,4255.02175239061,24,2
"177","attic",58381686.1235711,1789.66010393664,4255.02175239061,24,2
"178","attic",23141.9025246507,1789.66010393664,4255.02175239061,24,2
"179","attic",4748.38485999651,1789.66010393664,4255.02175239061,24,2
"180","attic",2455.27036704061,1789.66010393664,4255.02175239061,24,2
"181","attic",2095.38324475244,1789.66010393664,4255.02175239061,24,3
"182","attic",2039.37111884309,1789.66010393664,4255.02175239061,24,3
"183","attic",3254.55378761335,1789.66010393664,4255.02175239061,24,3
"184","attic",57674.1343261456,1789.66010393664,4255.02175239061,24,3
"185","attic",2307.43059147463,1789.66010393664,4255.02175239061,24,3
"186","attic",15192.3364829472,1789.66010393664,4255.02175239061,24,3
"187","attic",2413.86386531676,1789.66010393664,4255.02175239061,24,3
"188","attic",2068.43606261407,1789.66010393664,4255.02175239061,24,3
"189","attic",3396.78851851054,1789.66010393664,4255.02175239061,24,3
"190","attic",3102.87813991965,1789.66010393664,4255.02175239061,24,3
"191","attic",2130.5467433282,1789.66010393664,4255.02175239061,24,4
"192","attic",2271.74964901399,1789.66010393664,4255.02175239061,24,4
"193","attic",40707.0004919038,1789.66010393664,4255.02175239061,24,4
"194","attic",6908.38301205749,1789.66010393664,4255.02175239061,24,4
